         #NAME          Project      D_L    Sanders(25) Sanders(60) Sanders(100)   111-000      err      L_{IR}       err      211-202      err       L_{IR}       err      202-111      err      L_{IR}       err      312-303      err      L_{IR}       err      321-312      err       L_{IR}      err       220-211      err      L_{IR}       err      422-413      err      L_{IR}       err      523-514      err      L_{IR}       err    
      #freq(GHz)          --         --        25µm        60µm        100µm      1113.3430  1113.3430  R(100µm)   R(100µm)   752.0332   752.0332    R(100µm)   R(100µm)   987.9268   987.9268   R(100µm)   R(100µm)   1097.3648  1097.3648  R(100µm)   R(100µm)   1162.9116  1162.9116  R(100µm)    R(100µm)    1228.7888  1228.7888  R(100µm)   R(100µm)   1207.6387  1207.6387  R(100µm)   R(100µm)   1410.6181  1410.6181  R(100µm)    R(100µm)  
 #(sources list/Units)    --         Mpc       Jy          Jy          Jy         10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun   10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun  10^11L_sun  10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun 10^11L_sun 10^6L_sun  10^6L_sun  10^11L_sun  10^11L_sun
       #T_ex(K)           --         --        --          --           --        53         --         --         --         137         --         --         --         101        --         --         --         249        --         --          --        305        --         --          --          196        --         --         --         454        --         --         --         642        --         --         --      
     ESO069-IG006        GOALS     188.61      0.71         7.08       12.68      NaN        NaN        NaN        NaN        4.5233      1.8180     8.3176     1.6635     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
       UGC05101          GOALS     158.61      1.02        11.68       19.91      NaN        NaN        NaN        NaN        5.7193      1.3852     8.9125     2.6738     6.9439     2.4624     8.9125     2.6738     NaN        NaN        NaN        NaN       10.6201      3.1713    8.9125      2.6738      NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
     ESO148-IG002        GOALS     177.75      1.64        10.94       10.68      NaN        NaN        NaN        NaN        6.4875      2.5857    10.0000     2.0000     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN       NaN         NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
     ESO286-IG019        GOALS     172.76      1.87        12.19       10.31      NaN        NaN        NaN        NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN        NaN       11.9980     2.1806     10.0000    2.0000     7.6262      3.4313   10.0000      2.0000     12.1941    2.9383     10.0000     2.0000     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
    IRASF05189-2524       van      168.64      3.47        13.25       11.84      NaN        NaN        NaN        NaN        3.9732      1.2262    12.8825     2.5765     6.1695     2.0929    12.8825     2.5765     7.4486     1.8681     12.8825    2.5765     5.1356      1.8803   12.8825      2.5765      6.2211    1.9804     12.8825     2.5765     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
    IRAS06035-7102      ULIRGs     325.00      0.57         5.18        5.65      NaN        NaN        NaN        NaN       28.9708      9.7118    18.1970     3.6394     NaN        NaN        NaN        NaN       23.4693     8.1305     18.1970    3.6394    21.8791      9.5636   18.1970      3.6394     20.6894    6.7669     18.1970     3.6394     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
    IRAS23365+3604      ULIRGs     251.84      0.94         7.44        9.01      NaN        NaN        NaN        NaN        9.3812      4.0737    13.4896     4.0469     NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN       16.1541      6.5987   13.4896      4.0469      NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
        Mrk273            van      154.71      2.36        22.51       22.53      NaN        NaN        NaN        NaN        6.6325      0.8764    13.8038     2.7608    10.1050     2.2885    13.8038     2.7608     7.8529     1.3900     13.8038    2.7608     9.7762      1.1604   13.8038      2.7608      7.5530    3.4558     13.8038     2.7608     NaN        NaN        NaN        NaN        3.3778     1.3802    13.8038     2.7608   
        Arp220          cwilson     79.90      8.00        104.09     115.29      NaN        NaN        NaN        NaN       15.2363      0.9181    16.2181     3.2436    21.3387     4.2734    16.2181     3.2436    15.7329     5.3594     16.2181    3.2436    30.1324      3.5399   16.2181      3.2436     14.3983    3.7037     16.2181     3.2436    12.8497     5.5115    16.2181     3.2436     9.5946     4.3604    16.2181     3.2436   
    IRAS09022-3615       GOALS     238.84      1.19        11.64       11.08      NaN        NaN        NaN        NaN        7.3372      2.0792    18.1970     3.6394     NaN        NaN        NaN        NaN       13.1923     4.1352     18.1970    3.6394    14.2002      3.6832   18.1970      3.6394      NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    
    IRAS13120-5453        van      129.36      2.98        41.11       52.33      4.0400     2.5401     18.1970    3.6394    10.6848      1.3372    18.1970     3.6394    15.8145     3.4358    18.1970     3.6394    10.9288     1.9416     18.1970    3.6394    20.0491      2.2013   18.1970      3.6394     17.7649    1.8378     18.1970     3.6394     NaN        NaN        NaN        NaN        4.7030     1.6558    18.1970     3.6394   
